State,Population,Area
.Alabama,4864745,50750
.Arizona,6945452,113642
.Arkansas,2990410,52075
.California,39209127,155973
.Colorado,5540921,103730
.Delaware,949216,1955
.District of Columbia,686575,68
.Florida,20629982,53997
.Georgia,10304763,57919
.Illinois,12826895,55593
.Indiana,6633344,35870
.Iowa,3131785,55875
.Kansas,2911263,81823
.Louisiana,4678215,43566
.Maine,1331370,30865
.Maryland,6004692,9775
.Massachusetts,6826022,7838
.Missouri,6087203,68898
.Nevada,2919772,109806
.New Hampshire,1342373,8969
.New Jersey,8874516,7419
.New York,19641589,47224
.North Carolina,10156679,48718
.North Dakota,754353,68994
.Ohio,11635003,40953
.Oklahoma,3926769,68679
.Pennsylvania,12783538,44820
.Rhode Island,1057063,1034
.South Carolina,4958235,30111
.Tennessee,6645011,41220
.Texas,27937492,261914
.Utah,3042613,82168
.Virginia,8410946,39598
.Washington,7294680,66582
.Wyoming,584290,97105
